rowid,kepler_name,koi_period,koi_prad,koi_teq,koi_insol
9436,,358.74318,2.25,224.0,0.6
9444,,14.3400358,0.68,248.0,0.89
9460,,237.26601,1.23,299.0,1.89
9465,,378.65484,1.53,258.0,1.04
9477,,425.64971,1.58,281.0,1.48
9491,,419.2615,1.7,256.0,1.02
9494,,308.185801,2.12,230.0,0.66
9498,,353.04037,1.04,196.0,0.35
9501,,272.54288087,2.35,255.0,1.0
9528,,453.64875,2.18,239.0,0.77
9531,,405.65377,2.03,246.0,0.87
9533,,361.901618,0.95,198.0,0.37
9536,,330.80879,2.13,290.0,1.67
9540,,95.906433,2.17,288.0,1.63
9546,,358.66044,1.62,304.0,2.02
