rowid,dec,ra
6644,42.7136,288.41675
6648,44.17038,290.39822
6649,44.110592,294.59424
6650,44.131809,294.74133
6660,45.577709,283.03592
6661,46.81184,292.75555
6681,44.205582,290.01547
6691,46.994869,282.93451
6697,46.980042,290.23773
6709,44.356979,285.75095
6727,47.079071,299.02518
6728,47.000771,299.58463
6731,42.993031,297.88852
6733,43.065472,280.72287
6735,43.058811,295.06079
6748,45.687859,292.79358
6760,43.132195,287.96262
6763,43.129421,295.02985
6764,43.178551,297.65436
6767,44.592941,286.11569
6775,49.363312,296.63181
6776,49.35994,296.71918
6784,49.6847,284.55368
6792,49.686501,287.65161
6795,49.626991,294.69086
6798,49.703049,287.29846
6808,50.12801,289.65347
6818,50.49836,288.18256
6819,50.409229,289.68549
6827,50.791859,289.96442
6828,50.795456,294.52161
6829,50.78051,296.24155
6836,48.407742,285.86667
6848,51.441738,289.4024
6849,48.48246,298.30725
6861,51.914211,288.71906
6866,48.607632,285.72473
6872,48.668362,298.57523
6873,48.758659,287.46823
6876,48.724918,298.06229
6880,48.87252,292.33502
6881,48.897861,295.57629
6886,49.190769,285.33615
6889,49.105068,290.8688
6890,49.173641,292.39926
6891,49.175072,294.52682
6893,49.240501,286.55554
6896,49.202339,296.96423
6908,41.786961,292.00204
6927,44.766392,286.85727
7004,39.20528,285.8627
7042,45.369011,286.08908
7047,41.279121,288.97574
7126,43.85051,296.38904
7141,39.272831,289.7261
7142,46.602261,295.34271
7149,49.378029,295.56683
7182,42.449989,291.20096
7213,38.657581,292.32645
7232,45.663551,293.1311
7246,43.766918,296.58698
7274,46.676289,294.96246
7279,46.81575,297.47839
7281,42.78196,296.99863
7293,46.64534,289.73468
7320,44.213531,294.99933
7331,40.055641,289.86099
7355,44.38192,291.31281
7383,44.678089,290.3031
7485,44.461079,296.05728
7502,49.158642,294.82391
7512,39.201401,294.92883
7542,46.054806,297.37427
7720,49.785851,296.53479
7731,39.691681,293.23929
7733,39.609322,295.34366
7749,42.623707,280.96588
7771,44.61866,290.7782
7906,39.910648,290.76251
7934,46.686291,287.02615
8081,38.691311,292.47549
8088,44.207909,294.95258
8100,42.063229,286.60938
8173,45.598412,290.30801
8193,46.498634,298.73611
8262,46.34129,294.4686
8271,50.982529,288.66644
8295,39.903851,298.27673
8324,44.291779,290.90695
8343,44.85244,285.75574
8348,40.311211,291.18497
8350,47.174541,283.33606
8390,44.919102,293.2709
8423,47.81105,285.6409
8522,45.291142,297.48312
8555,45.568192,291.27625
8556,44.35051,285.79572
8568,46.37188,295.19278
8586,47.120701,288.50931
8594,46.339882,300.34525
8609,51.488522,287.86331
8642,43.97649,298.70001
8658,45.10392,289.92197
8660,37.56691,292.10245
8668,41.538158,293.16168
8737,48.765079,295.4769
8794,38.564781,295.27454
8795,38.654121,292.4809
8797,38.820068,285.8573
8826,41.627548,290.47375
8847,40.005249,298.16547
8890,43.142052,280.46259
8892,44.657581,286.11234
8904,44.006969,289.18787
8935,47.394989,281.87015
8964,47.205769,294.38254
8969,40.437752,298.89359
8970,40.865761,283.56866
8974,47.549332,291.75497
8990,45.71664,290.89395
9001,47.495781,288.27457
9002,47.4674,291.46838
9005,40.954239,292.96835
9007,41.042858,292.06931
9024,38.788078,291.19559
9038,41.27755,290.14304
9039,41.246811,290.2196
9046,49.20261,290.47623
9058,39.511971,293.72528
9075,41.918591,289.98419
9079,49.99242,290.60349
9087,39.829941,290.38721
9106,42.071129,290.08203
9113,50.68721,296.65671
9114,50.921619,288.19321
9122,40.462349,298.12234
9130,47.401718,283.17575
9152,38.708801,286.04395
9160,44.277561,296.00369
9177,46.56654,284.94098
9180,45.419998,290.19992
9183,48.266628,283.29706
9191,43.384048,293.03891
9192,43.38464,294.42719
9193,43.477329,295.03894
9195,39.664879,293.20059
9196,39.642658,293.94141
9199,39.953491,295.06955
9200,40.252918,291.52951
9208,41.44548,288.62289
9215,51.770439,288.6127
9216,49.066078,290.6962
9222,47.839001,293.61371
9226,45.68721,288.43912
9236,43.677929,294.85776
9238,40.67511,296.98615
9239,40.835541,296.78223
9242,41.22551,290.4519
9243,41.358391,288.43362
9260,39.750259,288.97824
9268,45.920658,285.71143
9272,49.043289,291.45468
9273,49.18998,290.57971
9280,44.17889,289.4827
9281,44.21526,294.57861
9284,41.502739,282.90985
9286,41.749939,289.32593
9295,41.933182,294.62714
9303,45.00631,287.10013
9304,45.009258,290.36932
9322,44.762112,284.19217
9323,44.762112,284.19217
9324,44.71656,289.29507
9326,44.886089,289.48599
9328,43.475128,291.19321
9329,43.590439,295.22299
9331,43.879459,289.66574
9332,43.909611,295.49759
9349,41.94294,291.52393
9351,44.994148,285.94116
9361,46.36388,292.41211
9362,46.371479,292.48166
9363,49.834469,292.58734
9369,44.987968,287.04742
9372,44.96003,289.86804
9377,45.151569,286.86218
9389,48.704021,284.29269
9390,50.178219,293.96844
9392,51.57468,289.52121
9394,45.00629,289.75296
9395,46.806492,296.37497
9403,46.414631,291.97656
9408,50.311291,293.5318
9411,45.03421,293.064
9413,45.142139,286.94946
9414,45.45433,285.66858
9415,45.443291,290.3038
9417,45.61084,298.90518
9420,46.116138,295.90207
9434,45.606468,287.89438
9436,46.920551,291.28595
9444,46.521626,294.7959
9460,46.339661,291.84842
9465,47.812592,285.24338
9477,39.5793,285.60822
9491,37.62624,286.61917
9494,38.652012,288.10904
9498,46.669083,294.54276
9501,50.662369,294.92795
9528,46.91655,293.19342
9531,39.36182,294.93173
9533,39.694,290.37891
9536,47.09362,293.56528
9540,52.220341,290.17502
9546,43.075821,286.39584
